entry_name,system,verdict,in_v2_matrix,missing_column,access,reason
Acme LLM cluster trace (Shanghai AI Lab / AcmeTrace),"Acme (Seren + Kalos, Shanghai AI Lab)",COLUMN-CAUSE,yes (as Acme),,public,"Released CSVs expose outcome states only (COMPLETED/CANCELLED/FAILED/TIMEOUT/NODE_FAIL), but the paper's Table 3 gives the quantitative failure taxonomy with root causes (Infrastructure = NVLink/CUDA/ECC/Network, Framework, Script) — cause shares exist at the source."
AcmeTrace (Seren + Kalos cluster traces),"Acme (Seren + Kalos, Shanghai AI Lab)",DUPLICATE-OF Acme,yes (as Acme),,public,"Same InternLM/AcmeTrace release and NSDI'24 paper as the preceding Acme entry; failure info identical (state field, root-cause taxonomy paper-only)."
Alibaba 2023 GPU cluster trace (cluster-trace-gpu-v2023) + HPN link/switch failure statistics,Alibaba PAI (v2023 trace) + Alibaba HPN network,RATES-ONLY,yes (as Alibaba-PAI),,public,"Public trace is 'scheduling/telemetry ONLY... Effectively not a failure dataset'; HPN paper reports only aggregate network-failure RATES (~0.057% NIC-ToR links/month, ~0.051% ToR switches/month) — side-table material, no failure-share breakdown."
Alibaba GPU Cluster Trace 2020 (cluster-trace-gpu-v2020),Alibaba PAI,COLUMN-LABEL,yes (as Alibaba-PAI),,public,'PARTIAL / LABEL-ONLY... Failed is an explicit failure label... the status is the ONLY failure signal. There are NO exit codes... NO root-cause information.'
Alibaba GPU cluster trace 2023 (cluster-trace-gpu-v2023),Alibaba PAI,DUPLICATE-OF Alibaba PAI (v2023 trace),yes (as Alibaba-PAI),,public,"Same cluster-trace-gpu-v2023 / openb fragmentation trace already covered in the combined 2023+HPN entry; failure info 'Effectively NONE for fault analysis' (pod phase Failed is a lifecycle status, not a fault record)."
Alibaba GPU Cluster Traces (cluster-trace-gpu-v2020 / v2023 / alibaba-lingjun-dataset-2023),Alibaba PAI (+ Lingjun),DUPLICATE-OF Alibaba PAI,yes (as Alibaba-PAI),,public,"Roll-up of the v2020 and v2023 traces already cataloged separately; only new material is Lingjun-2023, which has 'NO failure labels at all (telemetry/scheduling/topology only)'."
Fire-Flyer 2 AI-HPC Xid Error Characterization (DeepSeek),DeepSeek Fire-Flyer 2,COLUMN-CAUSE,yes (as Fire-Flyer),,"paper-only (public paper, no data repository)","'DOES label failures by fault class' with quantitative shares: Xid 74 NVLink 42.57%, Xid 43 illegal memory access 33.48%, ECC ~2%, plus Table V mapping each Xid to hardware/software/driver cause; paper-only aggregates."
From Detection to Recovery: Operational Analysis on LLM Pre-training with 504 GPUs,Lablup/Upstage DGX B200 cluster,COLUMN-CAUSE,yes (as DGX-B200),,"on-request (paper public, data via lablup.com contact)","'STRONG failure labeling, but only as in-paper analysis' — 10 XID-identified GPU failures with cause mapping (XID 79/94/145/149/119) and per-category percentages against ByteDance Minder taxonomy (e.g. NVLink 29.4%)."
"Llama 3 405B Pre-training Interruption Breakdown (Herd of Models, Table 5)",Meta Llama 3 405B H100 cluster,COLUMN-CAUSE,yes (as Llama3-405B),,"paper-only (public paper, no data artifact)","Table 5 buckets all 419 unexpected interruptions by root-cause component with counts and percentages (Faulty GPU 30.1%, HBM3 17.2%, network switch/cable 8.4%, ~78% hardware) — aggregate cause shares, no per-event records."
Llama 3 405B Pre-training Reliability Breakdown (Interruption Root-Cause Table),Meta Llama 3 405B H100 cluster,DUPLICATE-OF Llama3-405B,yes (as Llama3-405B),,paper-only,"Same Table 5 of Grattafiori et al. arXiv:2407.21783 as the preceding entry — identical 419-interruption root-cause categorization (faulty GPU 148/30.1%, HBM3 72/17.2%, etc.)."
MegaScale / ByteRobust — ByteDance large-scale GPU LLM-training failure statistics,ByteDance production GPU fleet (MegaScale/ByteRobust),COLUMN-CAUSE,no,YES — should be a column,"paper-only (papers public, no raw data released)","ByteRobust gives per-category incident counts and percentages: 38,236 explicit failures (CUDA errors 36.1%), 5,948 implicit failures (hangs 9.9%), 9,582 manual restarts (17.3%), plus a symptom-to-cause taxonomy table — though the hardware-vs-software split is incomplete."
MegaScale production failure narrative (NSDI'24 fault-tolerance / robustness section),ByteDance production GPU fleet (MegaScale/ByteRobust),DUPLICATE-OF ByteDance MegaScale/ByteRobust,no,,paper-only,"Same MegaScale NSDI'24 source already covered in the MegaScale/ByteRobust entry; here 'Qualitative failure evidence only — NO structured failure labels', just 'over 100' recovery events and category names."
"Meta ML Research Cluster Reliability Data (""Revisiting Reliability in Large-Scale Machine Learning Research Clusters"", arXiv:2410.21680)",Meta RSC (RSC-1 + RSC-2),COLUMN-CAUSE,yes (as Meta-RSC),,paper-only (no data download),"Defines a three-tier failure taxonomy (user program / system software / hardware) mapped to Slurm terminal states, with aggregate attribution via a ~10-min temporal heuristic — cause-share analysis published, raw trace not released."
Microsoft Philly Trace (philly-traces),Microsoft Philly,COLUMN-CAUSE,yes (as Philly),,public (trace CC-BY-4.0; cause taxonomy paper-only),"Public trace has coarse Pass/Killed/Failed labels only, but companion papers (Jeon ATC'19 + ICSE'20) supply the quantitative failure taxonomy (infrastructure / AI-engine / user layers; 4,960 failed jobs in 20 categories) — cause shares exist at the source, not in the download."
NVIDIA DGX Cloud Reliability Data (Nemotron training runs),"NVIDIA DGX Cloud (Nemotron, H100)",COLUMN-CAUSE,no,YES — should be a column,"public blog, no dataset download","'DOES label/attribute failures by category — this is the report's core contribution (error attribution)' with proportions ECC ~38.9%, PCIe ~6.6%, NIC ~5.7% of failures — quantitative cause shares from a ~6K-GPU run, blog figure only."
OPT-175B Training Logbook (Meta OPT Chronicles / metaseq logbook),Meta OPT-175B A100 cluster,RATES-ONLY,no,,"public (GitHub, MIT license)","'DESCRIBES failures narratively but does NOT provide structured/labeled failure records' — ~35 manual + 70+ automatic restarts (~90-110 interruptions), 100+ hosts cycled; counts without a quantitative cause-share breakdown."
Philly Trace (Microsoft Philly GPU cluster trace),Microsoft Philly,DUPLICATE-OF Philly,yes (as Philly),,public,Same msr-fiddle/philly-traces release as the preceding Microsoft Philly Trace entry; identical Pass/Killed/Failed labeling and the same paper-derived 20-category taxonomy caveat.
Revisiting Reliability in Large-Scale Machine Learning Research Clusters (Meta RSC-1 / RSC-2),Meta RSC (RSC-1 + RSC-2),DUPLICATE-OF Meta-RSC,yes (as Meta-RSC),,paper-only,"Same Kokolis et al. HPCA 2025 / arXiv:2410.21680 study as the earlier Meta ML Research Cluster entry; same three-domain taxonomy and Slurm exit-state mapping, no raw data."
SenseTime Helios GPU Trace (HeliosData),SenseTime Helios,COLUMN-LABEL,yes (as Helios),,"public (GitHub, CC-BY-4.0)","'DOES label final job status — the state field carries one of COMPLETED, CANCELLED, FAILED, TIMEOUT, NODE_FAIL... HOWEVER it does NOT expose exit codes... or any root-cause / failure-reason attribution.'"
"A Large-Scale Study of Soft-Errors on GPUs in the Field (Nie et al., HPCA 2016)",Titan,RATES-ONLY,yes (as Titan),,restricted / on-request (ORNL-internal logs; paper public),"'Labels HARDWARE SOFT-ERROR EVENTS by ECC type, not job/task failures' — SBE/DBE counts snapshotted per batch job; 'CANNOT associate an individual SBE with... a specific job outcome'; error-rate side-table material, no failure-share breakdown."
Blue Waters K20X GPU error records (Blue Waters Kepler GPU failure data),Blue Waters,COLUMN-CAUSE,yes (as BlueWaters),,restricted / on-request (findings via papers only),'This IS failure-labeled data... Di Martino et al. (DSN 2014) categorize root causes of single-node failures' plus Bode et al. 2024 per-component failure counts/rates including GPU hardware — cause-classified shares via papers; no standalone public download.
Experimental Findings on the Sources of Detected Unrecoverable Errors in GPUs,"Lab neutron-beam GPUs (Kepler/Volta, ISIS ChipIR) — not a production cluster",RATES-ONLY,no,,"public (paper only, no raw beam-data repository)","Aggregate DUE cross-sections by source class (illegal address / interface / launch failure) from accelerated neutron beam — 'absolute rates are fluence-scaled, not field FIT rates'; hardware-mechanism side-table material, not cluster failure shares."
GPU Lifetimes on Titan Supercomputer: Survival Analysis and Reliability,Titan,RATES-ONLY,yes (as Titan),,public,"Hardware fault-mode labels only (DBE vs OTB, dead/censored, time-to-event) — 'no job exit codes, no software/application error causes, no per-job root-cause logs'; GPU-only denominator gives failure-mode rates/survival curves, not shares of a system-wide failure-class breakdown."
Machine Learning Models for GPU Error Prediction (Titan) — Nie et al. 2018 SBE telemetry,Titan,RATES-ONLY,yes (as Titan),,paper-only (trace restricted),"'HARDWARE ERROR telemetry, not job-failure/exit-code data ... label is essentially binary/count of SBE occurrence per GPU per time window' — SBE/DBE event counts only, no cause field, raw trace OLCF-internal."
"Nie et al. Titan GPU error trace (DSN 2018) — related public release: ""GPU Lifetimes on Titan"" (TitanGPULife)",Titan,DUPLICATE-OF Titan,yes (as Titan),,"split: TitanGPULife public, 6-mo trace restricted","Caveats say the seed 'conflates two distinct-but-related artifacts' — the Nie DSN'18 trace and the public TitanGPULife survival dataset, both already catalogued as separate entries; no new data."
OLCF Summit Supercomputer GPU Snapshots During Double-Bit Errors and Normal Operations,Summit,RATES-ONLY,no,,public/on-request via OLCF DOI 10.13139/OLCF/1970187,"Records tagged DBE vs normal with XID codes and job-termination records, but 'What it does NOT provide as clean fields: definitive per-event root cause' — a single-fault-class (uncorrectable memory error) event set, not a failure-class breakdown with shares."
Story of Two GPUs: Characterizing the Resilience of Hopper H100 and Ampere A100 GPUs (Delta GPU resilience artifact),NCSA Delta (A100 + H100),COLUMN-CAUSE,yes (as Delta-A100-H100),,"public (Zenodo 10.5281/zenodo.15287639, CC-BY-4.0)","Categorizes GPU error type via Xid codes (31, 48, 63/64, 74, 79, 94/95, 119/120, 122/123), exposes Slurm job status and exit codes, and labels jobs 'GPU-Failed' — quantitative Xid-class and GPU-attributed job-failure shares (heuristic ~20s attribution window)."
Titan GPU Failure / Lifetime Data (ORNL Titan K20X DBE/OTB dataset),Titan,DUPLICATE-OF Titan,yes (as Titan),,public,"aka 'TitanGPULife; ""GPU Lifetimes on Titan""' — same GitHub/OSTI artifact (gc_summary_loc.csv, DBE/OTB survival data) as the 'GPU Lifetimes on Titan Supercomputer' entry."
Understanding GPU Errors on Large-Scale HPC Systems (Titan GPU field data),Titan,RATES-ONLY,yes (as Titan),,paper-only (raw logs restricted),"Classifies GPU errors into SBE/DBE/OTB with temperature/power/position correlates but 'does NOT expose job-level exit codes ... or per-job failure attribution'; raw logs OLCF-held, only published GPU error rates/cross-sections usable — side-table overlapping the Titan column's lineage."
Understanding the Landscape of Ampere GPU Memory Errors (Zhu et al. 2025),Delta + Polaris + Perlmutter A100 fleets,RATES-ONLY,no (Delta overlap only — Delta-A100-H100 column is the separate Cui SC'25 artifact; Polaris/Perlmutter uncovered),,paper-only (arXiv:2508.03513),"'ECC error telemetry with a correctable-vs-uncorrectable severity' split only — 'does NOT expose XID codes ... exit codes ... job/application failures ... root cause'; MTBE and per-GPU error rates only, facility-restricted."
Blue Gene/P Intrepid RAS + Job Logs (Intrepid RAS log dataset),ALCF Intrepid (Blue Gene/P),COLUMN-CAUSE,no,YES — should be a column,"public (USENIX CFDR, Intrepid_RAS_0901_0908_scrubbed)","FATAL events (33,370 raw / 549 deduped) carry ERRCODE fault types 'spanning 82 ERRCODE types across 6 components' (APPLICATION, KERNEL, MC, MMCS, BAREMETAL, CARD) plus paired Cobalt job logs — component-attributed fatal-event shares fillable into cause rows (authors caveat RAS records alone are 'too vague' for definitive root cause)."
Blue Gene/P Intrepid RAS Log (CFDR),ALCF Intrepid (Blue Gene/P),DUPLICATE-OF Intrepid (Blue Gene/P RAS + Job Logs),no (flagged on the primary Intrepid entry),,public,"Same artifact — aka 'Intrepid_RAS_0901_0908_scrubbed', same CFDR file and same Zheng/Lan IPDPS'11 co-analysis paper as the preceding Intrepid entry."
Blue Gene/Q Mira RAS Logs (5-Year Failure Record / LogAider dataset),Mira,COLUMN-CAUSE,yes (as Mira),,public (ALCF reports portal + LogAider repo),"Failures 'identified by the SEVERITY field (FATAL...) and typed by CATEGORY + COMPONENT + MSG_ID, which map to IBM Blue Gene/Q RAS message classes (e.g., hardware component, software, coolant/environment, network)' — category shares of ~1,255 true fatal events; Cobalt EXIT_CODE job logs downloadable alongside."
Blue Waters Failure & Error Logs (LogDiver dataset / NCSA Blue Waters resiliency data),Blue Waters,PAPER-STATS,yes (as BlueWaters),,paper-only (NCSA-internal),"Exit statuses decoded, errors classified, manual reports supply 'human-attributed ROOT CAUSE' (~1.53% of applications failed from system-related issues; XK GPU apps more failure-prone than XE) — but access is 'Restricted / not publicly released ... never published as a downloadable dataset'."
COM2 (CFDR COM2 warranty service hardware-replacement log),anonymous ISP server fleet (CFDR umbrella),RATES-ONLY,no,,public (USENIX CFDR),"'Labels the FAILING COMPONENT and TIME, not the underlying fault mechanism ... does NOT expose software/job exit codes, error logs, return codes, or a diagnosed root cause' — hardware replacement rates (disks ~50%) for an ISP fleet, no cluster failure-class breakdown; hot-swap undercount."
Computer Failure Data Repository (CFDR),CFDR umbrella,REPOSITORY,partially — flagship LANL member is the LANL-22sys column,,public (usenix.org/cfdr-data; 403 to bots),"Umbrella of 13+ contributed datasets (LANL 22-system data, HPC1-4, COM1-3, Cray, PNNL, Intrepid...) — its individually catalogued members carry their own verdicts."
Cray XT logs (syslog / event log / console log),anonymous Cray XT (CFDR umbrella),RATES-ONLY,no,,public (direct USENIX tarballs),"Each of only 6 incident dumps ships a failure log with human-written narrative cause ('what Cray thought happened and (very) briefly why') — prose, not categorical, and 6 snapshots yield no statistical failure breakdown or MTBF; anecdote/side-table material at best."
"Desh / Doomsday Cray XC RAS & Console System Log Corpus (Das & Mueller, NCSU)",anonymized Cray XC SC1/SC2/SC3 (DOE sites),PAPER-STATS,no,,"paper-only (site-owned, anonymized)","Node-failure ground truth is author-DERIVED and bucketed (Table III) into internal (app bugs, kernel, node hardware) vs external (controllers, filesystem/network, router) causes — published counts exist but 'the corpus does NOT provide root-cause labels' and raw logs are 'NOT publicly redistributed'; heuristic labels make any column low-confidence."
FTA — Grid'5000 availability trace (g5k06),Grid'5000,RATES-ONLY,no,,on-request/gone (FTA mirrors dead),'Labels UNAVAILABILITY (node down) vs availability (node up) intervals only ... does NOT contain job exit codes and does NOT record root cause'; unavailability conflates faults with maintenance/reservations — availability/MTBF side-table only.
HPC4 / Sandia-USENIX Five-System Supercomputer Logs (Oliner-Stearley DSN'07),"Sandia/LLNL five-system logs (BGL, Thunderbird, RedStorm, Spirit, Liberty)",RATES-ONLY,no,,public via loghub/Zenodo (BGL/Thunderbird/Spirit); RedStorm/Liberty via broken CFDR,"'ALERT-ANNOTATED, not failure/exit-code labeled' — per-message alert-category tags; authors state the logs are 'more amenable to alert detection and prediction than to failure modeling', no exit codes, no root-cause chains, so only alert counts/rates are derivable."
"LANL failure data (22 HPC systems, 1996-2005)",LANL 22-system fleet,COLUMN-CAUSE,yes (as LANL-22sys),,public (USENIX CFDR / CMU PDL; LA-UR-05-7318),"Every one of 23,741 records 'carries a manually assigned root cause at two granularities: a HIGH-LEVEL category (Hardware, Software, Network, Environment, Human, plus Unknown) AND a DETAILED sub-cause'; aggregate shares ~53% Hardware / ~22% Software."
LANL HPC Failure Data (Schroeder & Gibson / CFDR LA-UR node-outage logs),LANL 22-system fleet,DUPLICATE-OF LANL 22-system data,yes (as LANL-22sys),,public,"Same ~23,000-record Schroeder-Gibson DSN'06 node-outage dataset with the same five-category admin-assigned root-cause taxonomy as the preceding 'LANL failure data (22 HPC systems, 1996-2005)' entry."
"Loghub HPC RAS log collection (BGL, Thunderbird, Liberty, Spirit)",Sandia/LLNL five-system logs (Loghub redistribution),DUPLICATE-OF Sandia/LLNL five-system logs (Oliner-Stearley),no,,public (Zenodo 8196385),"Same underlying Oliner-Stearley 'What Supercomputers Say' alert-tagged logs as the HPC4/DSN'07 entry, redistributed by LogPAI via Zenodo; same alert-label-not-root-cause limitation."
"Loghub Sandia/LLNL Supercomputer System Logs (BGL, Thunderbird, Spirit, Liberty)",Sandia/LLNL five-system logs (Loghub redistribution),DUPLICATE-OF Sandia/LLNL five-system logs (Oliner-Stearley),no,,public (Zenodo 8196385),"Third catalog copy of the same corpus (aka '""What Supercomputers Say"" five-log dataset; Oliner-Stearley logs'); labels are 'NOT failure root cause and NOT job outcomes/exit codes'."
OPT-175B Training Logbook / Chronicles (OPT175B_Logbook.pdf; metaseq OPT chronicles),Meta OPT-175B A100 cluster (992 GPUs),PAPER-STATS,no (distinct from Meta-RSC and Llama3-405B),,public (archived metaseq GitHub PDFs),"'QUALITATIVE, NARRATIVE failure record, not a structured/labeled fault dataset' — but it names ~35 restarts, 100+ hosts cycled, ~110 hardware failures and distinguishes hardware from software/optimization failures; hand-extracted counts could seed a coarse training-run column analogous to the existing Llama3-405B column."
PNNL MPP2 Hardware Failure Log (CFDR),PNNL MPP2 (EMSL HPCS-2),RATES-ONLY,no,,public (USENIX CFDR),"Every row is a hardware failure with failed-component and repair-action fields, but 'there is NO structured root-cause code, NO severity taxonomy, and NO exit/return codes' — hardware-maintenance tickets only, yielding component failure rates, not a failure-class share breakdown."
Tachyon HPC job failure log (KISTI Tachyon-II scheduler job records),Tachyon (KISTI Tachyon2),COLUMN-LABEL,yes (as Tachyon),,on-request,"Failure labeled only via scheduler exit/termination status (successful vs failed); 'does NOT provide a root cause, a diagnostic reason code' — raw data KISTI-restricted, stats in the Springer paper."
USRC Failure/Interrupt Data 1996-2005 (LA-UR-05-7318),LANL 22 anonymized systems,COLUMN-CAUSE,yes (as LANL-22sys),,public,"Every record carries a human-assigned root cause bucketed into Hardware / Software / Network / Environment-Facilities / Human error + Undetermined, with finer sub-causes (CPU, DIMM, disk) — directly fills cause rows."
"AcmeTrace — utilization + failure/RAS subset (Acme traces, Seren & Kalos)","Acme (Shanghai AI Lab, Seren+Kalos)",COLUMN-CAUSE,yes (as Acme),,public,"Public CSVs carry only job state (COMPLETED/CANCELLED/FAILED/TIMEOUT/NODE_FAIL) + fail_time, but the NSDI'24 paper gives 2,291 failures categorized Infrastructure/Framework/Script with named causes (CUDAError, ECCError, NVLinkError, NCCLRemoteError) — cause shares come from the paper, not the released files."
ALBADross Eclipse Active-Learning Anomaly-Diagnosis Dataset (HPAS-injected LDMS telemetry),Sandia Eclipse (+Volta testbed),NO-FAILURE-INFO,no,,on-request,"'performance-ANOMALY-DIAGNOSIS dataset, not a real-failure/fault-log dataset. Labels are the TYPE of a SYNTHETICALLY INJECTED anomaly' (HPAS) — same Eclipse telemetry family as the Sandia Eclipse LDMS umbrella entry."
ALCF Public Data reports portal (Theta & Polaris),ALCF Theta / Polaris,NO-FAILURE-INFO,no,,public,"'the public reports portal is I/O and utilization TELEMETRY, not a failure dataset... do NOT label failures/faults, do NOT expose per-job exit codes' (the login-gated IEEE DataPort catalog with THETA_HARDWARE_ERROR/RAS_EVENT tables is a separate artifact)."
Antarex HPC Fault Dataset (FINJ-generated),Antarex single node (ETH Zurich),NO-FAILURE-INFO,no,,public,"Faults are 'deliberately injected by the FINJ tool' — synthetic ground-truth labels on one experimental node, not observed production failures."
Dataset Artifact for Prodigy: Towards Unsupervised Anomaly Detection in Production HPC Systems,Sandia Eclipse,NO-FAILURE-INFO,no,,public,"'The anomaly is SYNTHETIC/INJECTED, not a natural system failure: a single fault type, memleak... does NOT contain real production failures' — 160 samples, binary label; same Zenodo 8079388 as the later 'Prodigy Eclipse Dataset' entry."
E2EWatch Eclipse Telemetry / Anomaly-Diagnosis Dataset (Aksar et al.),Sandia Eclipse,NO-FAILURE-INFO,no,,on-request,"'does NOT label real failures, faults, crashes, or exit codes. It labels SYNTHETIC PERFORMANCE ANOMALIES injected on purpose via HPAS' (memleak, membw, cpuoccupy, cachecopy)."
ExaMon / Marconi monitoring framework data (Examon data from Marconi HPC system snapshot),CINECA Marconi (NOT Marconi100),RATES-ONLY,no,,public,"Real but binary Nagios-derived node failure Label — 'it labels THAT a node failed (per Nagios), not WHY'; no cause categories or exit codes, so node-failure rates only."
F-DATA: A Fugaku Workload Dataset for Job-centric Predictive Modelling in HPC Systems,Fugaku (RIKEN R-CCS),COLUMN-LABEL,yes (as Fugaku),,public,~24M jobs with exit code `ec` [0-255] and derived binary completed/failed exit state; 'there is NO root-cause / fault-category / error-message information'.
FRESCO Job Failure & Performance Data Repository,Purdue Conte + TACC Stampede + Purdue Anvil (FRESCO),COLUMN-LABEL,yes (as Conte-FRESCO-A; UIUC-Cray-FRESCO-B is the other FRESCO column),,public,"TORQUE exit-status fields and Slurm states (COMPLETED/FAILED/CANCELLED/TIMEOUT/NODE_FAIL); 'does NOT provide an authoritative root-cause label per job' — the ~3,873 diagnosed tickets withheld. Conte is a column; Stampede and Anvil-A100 slices are not separate columns."
Grid Workloads Archive (GWA),"TU Delft GWA grids (DAS-2, Grid'5000, NorduGrid, AuverGrid, LCG, Grid3, TeraGrid, SharcNet + Bitbrains/Materna cloud)",COLUMN-LABEL,no,YES — should be a column,public,"Grid GWF traces carry SWF Status (0=failed, 1=completed, 5=cancelled) — 'a binary/ternary success-vs-fail-vs-cancel outcome label per job and nothing more'; Status unset/unreliable in some traces, cloud traces unlabeled — a weak mid-2000s outcome-label column at best."
HPAS (HPC Performance Anomaly Suite),tool (used on Voltrino/Eclipse/Cori/Volta),NO-FAILURE-INFO,no,,public,"'HPAS is a LABEL-GENERATION ENGINE, not a failure/crash dataset. It does NOT expose real exit codes, job failures, or observed system faults' — an injector tool, not a corpus."
